mes,fila,DD,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
mes_05,26,27,61,66,71,72,71,67,61,53,46,41,41,47,57,70,83,92,97,98,94,88,79,70,63,60
mes_05,27,28,61,65,71,75,77,75,71,64,57,49,44,44,49,58,71,81,89,93,94,91,85,77,69,63
mes_05,28,29,62,65,71,77,81,82,81,76,70,62,54,49,48,53,61,72,80,87,90,90,87,81,74,67
mes_05,29,30,63,65,70,77,83,87,88,86,82,75,67,60,54,54,59,65,73,80,86,88,87,84,78,70
mes_05,30,31,65,64,69,75,83,89,93,93,91,86,79,71,64,59,60,63,69,75,81,85,86,84,80,74
mes_06,0,1,67,64,67,73,81,89,95,98,96,93,88,81,73,66,63,64,67,71,77,81,84,84,81,76
mes_06,1,2,69,65,65,71,79,87,95,99,100,98,94,88,80,72,66,65,66,68,73,78,81,82,81,77
mes_06,2,3,71,65,63,67,75,84,93,100,102,101,97,92,84,75,68,65,64,66,69,74,77,79,79,77
mes_06,3,4,72,65,61,63,69,79,88,97,102,103,100,95,88,79,70,64,62,63,66,69,73,75,75,74
mes_06,4,5,71,65,60,59,62,71,82,92,100,103,102,98,92,83,73,65,61,59,62,65,68,71,71,70
mes_06,5,6,68,63,58,55,56,62,71,84,93,100,102,100,95,87,78,69,62,58,58,61,65,67,67,66
mes_06,6,7,64,60,56,51,50,53,60,72,84,93,99,100,97,91,83,74,66,60,58,59,63,65,65,64
mes_06,7,8,62,58,53,49,46,46,50,59,71,84,92,97,98,95,88,80,72,65,60,59,61,65,65,64
mes_06,8,9,62,59,54,48,44,42,43,48,57,70,82,90,96,97,93,86,78,71,66,62,61,64,67,67
mes_06,9,10,66,63,58,52,46,42,40,40,46,56,69,81,90,95,96,92,85,79,72,67,64,64,67,70
mes_06,10,11,71,70,67,61,53,47,42,39,39,44,54,68,80,90,96,96,92,86,79,73,68,65,66,70
mes_06,11,12,74,77,77,73,67,58,51,44,39,39,43,53,67,80,91,97,97,93,87,80,74,69,66,67
mes_06,12,13,73,80,84,85,82,75,66,56,48,42,39,43,53,67,80,91,96,97,93,87,80,74,68,66
mes_06,13,14,68,77,86,92,95,92,84,74,63,53,45,41,43,53,67,79,89,95,96,92,87,80,72,66
mes_06,14,15,65,70,80,91,99,103,101,93,83,71,60,50,44,45,53,65,76,86,92,93,90,85,78,70
mes_06,15,16,64,64,70,83,95,105,110,109,101,91,79,66,54,47,46,52,62,73,82,88,89,87,82,74
mes_06,16,17,66,61,62,70,83,97,109,114,114,108,99,86,71,58,50,47,51,59,69,78,83,84,82,77
mes_06,17,18,68,61,57,59,68,81,97,109,116,116,112,104,90,75,62,52,47,49,57,66,74,78,80,77
mes_06,18,19,71,62,55,52,54,63,78,94,107,115,117,114,106,92,78,64,53,47,50,57,65,71,75,76
mes_06,19,20,72,64,56,50,47,49,59,74,90,103,112,116,113,105,92,78,65,53,48,51,58,65,70,73
mes_06,20,21,72,67,59,51,45,41,43,54,69,85,98,108,112,110,101,90,77,64,54,51,54,60,66,70
mes_06,21,22,72,70,64,56,48,42,37,40,51,65,80,93,103,107,105,97,87,75,64,56,55,58,63,68
mes_06,22,23,72,73,69,63,55,48,40,36,39,50,62,77,89,99,101,99,92,83,73,64,58,58,61,66
mes_06,23,24,71,75,75,71,65,57,50,43,39,42,50,62,75,86,94,95,93,88,80,72,64,60,61,64
mes_06,24,25,69,74,78,77,74,69,62,55,48,44,46,53,63,74,84,89,90,89,84,78,71,64,62,64
mes_06,25,26,67,73,79,82,81,79,74,68,61,54,51,53,58,66,75,82,86,87,85,82,76,70,65,64
mes_06,26,27,66,71,78,83,86,86,84,80,74,67,61,58,59,63,69,76,81,84,85,83,79,74,68,65
mes_06,27,28,66,70,76,83,88,90,90,88,84,78,71,66,63,65,67,72,77,81,83,83,81,77,72,67
mes_06,28,29,66,69,75,82,89,93,95,94,92,87,80,74,69,67,68,70,74,78,81,82,82,79,74,69
mes_06,29,30,66,67,73,80,87,94,98,98,96,93,87,80,73,69,68,69,70,74,77,80,80,79,76,70
mes_07,0,1,66,65,69,76,84,93,99,101,100,97,92,85,77,71,67,66,67,69,73,76,78,78,76,71
mes_07,1,2,66,63,65,70,79,88,96,101,102,100,96,89,80,72,66,63,63,65,68,72,74,75,74,71
mes_07,2,3,66,62,61,64,71,82,91,98,102,101,98,92,84,75,67,62,60,61,64,67,69,70,70,69
mes_07,3,4,65,60,58,58,63,72,83,92,98,100,99,95,88,79,70,63,58,57,60,63,66,67,67,65
mes_07,4,5,63,58,55,53,55,61,72,83,92,97,98,96,90,82,73,66,59,56,58,62,64,65,65,63
mes_07,5,6,60,56,52,49,49,52,60,72,83,91,95,95,92,86,78,69,62,58,57,60,65,67,66,64
mes_07,6,7,61,56,51,47,45,45,49,59,72,83,90,94,94,89,82,74,67,61,58,59,64,69,70,69
mes_07,7,8,66,61,54,48,44,41,42,47,58,72,83,90,94,93,87,80,72,65,61,60,63,69,74,75
mes_07,8,9,74,70,63,55,48,42,40,40,46,58,72,83,91,94,93,86,79,71,66,62,62,66,74,79
mes_07,9,10,82,81,76,68,59,50,44,40,39,45,58,72,83,92,95,92,86,79,72,67,63,64,69,78
mes_07,10,11,85,89,88,84,75,65,56,47,42,40,46,58,71,83,91,94,92,86,80,73,67,64,65,71
mes_07,11,12,81,90,96,97,92,84,74,63,53,45,43,47,58,70,81,89,92,90,86,80,73,67,63,65
mes_07,12,13,73,84,94,102,104,101,93,83,72,60,51,46,48,57,67,77,85,88,88,84,79,72,65,61
mes_07,13,14,64,73,85,97,107,111,109,102,93,80,67,56,50,50,56,64,73,81,84,84,82,76,68,61
mes_07,14,15,59,62,71,84,98,110,115,115,109,100,87,73,61,53,50,54,61,70,77,80,81,78,72,63
mes_07,15,16,57,55,58,68,82,98,110,117,118,114,105,92,77,64,54,50,53,59,68,74,77,77,74,66
mes_07,16,17,58,52,49,53,63,79,96,109,117,119,116,107,93,79,65,54,50,53,60,68,73,75,74,69
mes_07,17,18,61,52,46,44,47,59,75,92,105,114,117,114,105,91,77,64,54,51,55,62,69,74,75,73
mes_07,18,19,66,56,48,41,38,42,54,71,88,101,110,113,110,100,87,74,61,53,53,58,66,72,76,76
mes_07,19,20,72,64,54,45,38,35,40,52,68,84,97,106,108,103,93,82,70,59,54,56,62,70,75,78
mes_07,20,21,78,72,64,54,45,38,35,40,52,66,81,93,100,101,96,86,76,66,58,56,60,66,73,78
mes_07,21,22,81,79,74,65,56,48,41,38,44,54,66,79,89,95,94,88,81,72,64,59,59,64,69,76
mes_07,22,23,81,83,81,75,68,60,53,46,45,50,58,68,79,86,90,88,83,77,70,64,60,62,67,72
mes_07,23,24,79,83,85,83,78,72,66,59,53,52,57,63,71,79,84,85,83,79,74,69,64,62,65,70
mes_07,24,25,76,82,86,87,85,81,77,71,65,60,60,63,67,73,79,82,82,80,77,73,68,65,65,69
mes_07,25,26,74,80,85,89,89,88,85,81,75,70,66,66,68,71,75,79,80,79,78,75,71,67,65,67
mes_07,26,27,72,78,84,90,92,92,91,88,83,77,72,70,70,71,72,76,78,78,78,77,74,69,66,66
mes_07,27,28,69,75,82,89,94,96,95,93,89,84,77,73,70,70,70,72,75,76,77,77,75,71,67,65
mes_07,28,29,66,71,78,85,93,98,99,98,95,89,82,76,71,68,68,68,70,73,74,75,75,73,68,64
mes_07,29,30,63,66,72,80,88,96,99,100,98,94,88,80,73,68,65,64,65,68,70,72,73,72,69,65
mes_07,30,31,62,61,65,72,81,89,96,99,100,97,92,84,76,69,64,61,61,63,66,68,70,70,69,65
mes_08,0,1,61,59,59,63,71,81,89,95,98,97,94,88,80,72,65,60,58,60,63,66,67,68,67,65
mes_08,1,2,61,58,56,56,61,71,81,89,93,95,94,90,83,75,67,61,57,58,62,65,67,67,67,64
